,rank,1s,dbn,school_name,economic_need_index,grade_7_enrollment,num_shsat_test_takers,pct_test_takers,percent_black__hispanic,minority_delta,score
179,155,0.0,12X341,ACCION ACADEMY,0.903,48.0,7.0,12.0,95.0,17,0.0
327,156,0.0,32K377,P.S. 377 ALEJANDRINA B. DE GAUTIER,0.8190000000000001,51.0,20.0,44.0,97.0,6,0.0
44,157,0.0,31R072,I.S. 072 ROCCO LAURIE,0.366,448.0,139.0,30.0,29.0,26,0.0
362,158,0.0,15K442,M.S. 442 CARROLL GARDENS SCHOOL FOR INNOVATION,0.684,70.0,25.0,31.0,73.0,8,0.0
455,159,0.0,06M223,THE MOTT HALL SCHOOL,0.7240000000000001,104.0,81.0,93.0,93.0,-26,-0.0
360,160,0.0,09X215,KAPPA,0.8390000000000001,105.0,25.0,32.0,93.0,27,0.0
166,161,0.0,12X372,URBAN ASSEMBLY SCHOOL FOR WILDLIFE CONSERVATION,0.809,59.0,6.0,3.0,96.0,23,0.0
232,162,0.0,03M258,COMMUNITY ACTION SCHOOL - MS 258,0.73,84.0,11.0,18.0,87.0,28,0.0
238,163,0.0,19K171,I.S. 171 ABRAHAM LINCOLN,0.7879999999999999,148.0,11.0,7.0,91.0,59,0.0
435,164,0.0,10X045,THOMAS C. GIORDANO MIDDLE SCHOOL 45,0.8859999999999999,226.0,46.0,17.0,94.0,65,0.0
397,165,0.0,10X331,THE BRONX SCHOOL OF YOUNG LEADERS,0.894,138.0,35.0,27.0,98.0,35,0.0
37,166,0.0,10X118,J.H.S. 118 WILLIAM W. NILES,0.843,379.0,270.0,64.0,81.0,-62,-0.0
270,167,0.0,27Q207,P.S. 207 ROCKWOOD PARK,0.191,73.0,14.0,16.0,21.0,5,0.0
269,168,0.0,21K238,P.S. 238 ANNE SULLIVAN,0.8,64.0,14.0,23.0,61.0,11,0.0
426,169,0.0,11X144,J.H.S. 144 MICHELANGELO,0.691,171.0,42.0,23.0,94.0,42,0.0
176,170,0.0,09X004,P.S./M.S. 004 CROTONA PARK WEST,0.903,69.0,7.0,11.0,98.0,28,0.0
310,171,0.0,18K581,EAST FLATBUSH COMMUNITY RESEARCH SCHOOL,0.7,58.0,18.0,56.0,91.0,11,0.0
253,172,0.0,01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,0.7709999999999999,65.0,13.0,18.0,90.0,18,0.0
388,173,0.0,07X343,ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,0.885,103.0,31.0,32.0,99.0,21,0.0
173,174,0.0,30Q235,ACADEMY FOR NEW AMERICANS,0.6759999999999999,39.0,6.0,12.0,63.0,9,0.0
335,175,0.0,28Q167,METROPOLITAN EXPEDITIONARY LEARNING SCHOOL,0.397,127.0,21.0,8.0,57.0,25,0.0
418,176,0.0,31R061,I.S. 061 WILLIAM A MORRIS,0.7170000000000001,320.0,40.0,12.0,78.0,96,0.0
231,177,0.0,03M256,M.S. 256 ACADEMIC & ATHLETIC EXCELLENCE,0.778,48.0,11.0,22.0,88.0,12,0.0
79,178,0.0,30Q291,HUNTERS POINT COMMUNITY MIDDLE SCHOOL,0.563,159.0,65.0,45.0,63.0,10,0.0
366,179,0.0,06M319,M.S. 319 - MARIA TERESA,0.838,120.0,27.0,18.0,98.0,34,0.0
87,180,0.0,31R048,P.S. 048 WILLIAM G. WILCOX,0.33399999999999996,97.0,70.0,59.0,22.0,-5,-0.0
356,181,0.0,19K661,VISTA ACADEMY,0.812,149.0,24.0,19.0,93.0,48,0.0
331,182,0.0,09X328,NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL,0.938,80.0,21.0,28.0,98.0,19,0.0
415,183,0.0,08X125,J.H.S. 125 HENRY HUDSON,0.821,123.0,39.0,33.0,71.0,17,0.0
359,184,0.0,32K045,P.S./I.S. 045 HORACE E. GREENE,0.8240000000000001,70.0,24.0,38.0,95.0,11,0.0
319,185,0.0,04M057,JAMES WELDON JOHNSON,0.885,95.0,20.0,20.0,93.0,26,0.0
398,186,0.0,11X468,PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAGEMENT,0.705,103.0,35.0,34.0,82.0,14,0.0
297,187,0.0,13K691,FORT GREENE PREPARATORY ACADEMY,0.701,60.0,17.0,22.0,93.0,13,0.0
451,188,0.0,17K002,PARKSIDE PREPARATORY ACADEMY,0.7170000000000001,166.0,69.0,43.0,93.0,15,0.0
350,189,0.0,09X022,J.H.S. 022 JORDAN L. MOTT,0.877,158.0,24.0,16.0,98.0,55,0.0
222,190,0.0,12X384,ENTRADA ACADEMY,0.868,84.0,10.0,13.0,96.0,32,0.0
457,191,0.0,24Q061,I.S. 061 LEONARDO DA VINCI,0.748,752.0,93.0,13.0,92.0,267,0.0
130,192,0.0,07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,0.799,59.0,0.0,0.0,94.0,28,0.0
194,193,0.0,16K308,P.S. 308 CLARA CARDWELL,0.828,37.0,8.0,14.0,96.0,10,0.0
83,194,0.0,06M278,PAULA HEDBAVNY SCHOOL,0.604,69.0,24.0,36.0,80.0,9,0.0
334,195,0.0,19K364,I.S. 364 GATEWAY,0.669,126.0,21.0,19.0,94.0,41,0.0
338,196,0.0,29Q289,QUEENS UNITED MIDDLE SCHOOL,0.3670000000000001,60.0,21.0,24.0,91.0,9,0.0
382,197,0.0,11X370,LEADERS OF TOMORROW,0.7709999999999999,131.0,29.0,22.0,90.0,34,0.0
299,198,0.0,19K089,P.S. 089 CYPRESS HILLS,0.8240000000000001,49.0,17.0,31.0,98.0,8,0.0
65,199,0.0,27Q202,J.H.S. 202 ROBERT H. GODDARD,0.593,350.0,98.0,26.0,55.0,44,0.0
228,200,0.0,29Q283,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,0.46399999999999997,80.0,10.0,7.0,91.0,28,0.0
147,201,0.0,23K041,P.S. 041 FRANCIS WHITE,0.9,62.0,0.0,0.0,95.0,30,0.0
137,202,0.0,10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,0.857,46.0,0.0,0.0,100.0,23,0.0
160,203,0.0,04M964,CENTRAL PARK EAST II,0.46,49.0,6.0,20.0,60.0,11,0.0
296,204,0.0,12X242,MOTT HALL V,0.795,102.0,17.0,8.0,94.0,33,0.0
385,205,0.0,08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",0.723,102.0,30.0,14.0,90.0,20,0.0
89,206,0.0,21K096,I.S. 096 SETH LOW,0.73,276.0,114.0,43.0,38.0,10,0.0
110,207,0.0,15K497,SCHOOL FOR INTERNATIONAL STUDIES,0.71,109.0,32.0,18.0,77.0,18,0.0
258,208,0.0,09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",0.8220000000000001,89.0,13.0,7.0,98.0,32,0.0
164,209,0.0,10X037,P.S. X037 - MULTIPLE INTELLIGENCE SCHOOL,0.752,50.0,6.0,8.0,95.0,19,0.0
389,210,0.0,11X566,PELHAM GARDENS MIDDLE SCHOOL,0.7140000000000001,158.0,31.0,19.0,95.0,47,0.0
387,211,0.0,22K381,I. S. 381,0.616,87.0,30.0,30.0,79.0,11,0.0
292,212,0.0,02M933,CITY KNOLL MIDDLE SCHOOL,0.613,85.0,17.0,22.0,67.0,18,0.0
148,213,0.0,23K178,P.S. 178 SAINT CLAIR MCKELWAY,0.884,39.0,0.0,0.0,95.0,19,0.0
348,214,0.0,25Q252,"QUEENS SCHOOL OF INQUIRY, THE",0.44299999999999995,92.0,23.0,13.0,40.0,10,0.0
400,215,0.0,14K126,JOHN ERICSSON MIDDLE SCHOOL 126,0.777,107.0,35.0,25.0,84.0,16,0.0
190,216,0.0,07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,0.872,100.0,8.0,4.0,96.0,41,0.0
236,217,0.0,12X273,FREDERICK DOUGLASS ACADEMY V. MIDDLE SCHOOL,0.823,82.0,11.0,15.0,97.0,30,0.0
433,218,0.0,10X363,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,0.8859999999999999,197.0,45.0,25.0,96.0,53,0.0
149,219,0.0,23K184,P.S. 184 NEWPORT,0.904,49.0,0.0,0.0,98.0,24,0.0
239,220,0.0,27Q146,P.S. 146 HOWARD BEACH,0.301,60.0,11.0,14.0,37.0,7,0.0
358,221,0.0,28Q310,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,0.5489999999999999,79.0,24.0,12.0,66.0,11,0.0
369,222,0.0,10X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 368),0.7490000000000001,170.0,27.0,7.0,91.0,54,0.0
288,223,0.0,19K678,EAST NEW YORK MIDDLE SCHOOL OF EXCELLENCE,0.845,84.0,16.0,21.0,96.0,26,0.0
156,224,0.0,01M034,P.S. 034 FRANKLIN D. ROOSEVELT,0.86,41.0,6.0,10.0,92.0,14,0.0
329,225,0.0,05M129,P.S. 129 JOHN H. FINLEY,0.8540000000000001,63.0,21.0,38.0,93.0,10,0.0
330,226,0.0,08X467,MOTT HALL COMMUNITY SCHOOL,0.639,111.0,21.0,18.0,79.0,28,0.0
332,227,0.0,13K351,THE URBAN ASSEMBLY UNISON SCHOOL,0.78,53.0,21.0,47.0,82.0,5,0.0
170,228,0.0,19K422,SPRING CREEK COMMUNITY SCHOOL,0.777,86.0,6.0,3.0,96.0,36,0.0
123,229,0.0,04M372,ESPERANZA PREPARATORY ACADEMY,0.836,63.0,0.0,0.0,97.0,31,0.0
257,230,0.0,08X302,M.S. 302 LUISA DESSUS CRUZ,0.9059999999999999,175.0,13.0,7.0,98.0,75,0.0
157,231,0.0,01M140,P.S. 140 NATHAN STRAUS,0.8490000000000001,65.0,6.0,9.0,90.0,24,0.0
434,232,0.0,18K285,I.S. 285 MEYER LEVIN,0.606,231.0,45.0,23.0,99.0,72,0.0
259,233,0.0,09X324,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,0.8190000000000001,110.0,13.0,8.0,95.0,41,0.0
114,234,0.0,01M188,P.S. 188 THE ISLAND SCHOOL,0.917,55.0,0.0,0.0,93.0,26,0.0
213,235,0.0,27Q333,GOLDIE MAPLE ACADEMY,0.7440000000000001,24.0,9.0,30.0,88.0,3,0.0
143,236,0.0,14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,0.868,66.0,0.0,0.0,93.0,31,0.0
380,237,0.0,09X323,BRONX WRITING ACADEMY,0.892,159.0,29.0,18.0,95.0,49,0.0
165,238,0.0,10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,0.8059999999999999,74.0,6.0,3.0,95.0,30,0.0
312,239,0.0,31R028,THE EAGLE ACADEMY FOR YOUNG MEN OF STATEN ISLAND,0.705,60.0,18.0,16.0,83.0,10,0.0
88,240,0.0,19K292,J.H.S. 292 MARGARET S. DOUGLAS,0.848,200.0,81.0,39.0,86.0,18,0.0
298,241,0.0,18K598,MIDDLE SCHOOL OF MARKETING AND LEGAL STUDIES,0.608,48.0,17.0,32.0,96.0,7,0.0
293,242,0.0,06M143,J.H.S. 143 ELEANOR ROOSEVELT,0.8490000000000001,93.0,17.0,15.0,97.0,30,0.0
209,243,0.0,23K284,"THE GREGORY JOCKO JACKSON SCHOOL OF SPORTS, ART, AND TECHNOLOGY",0.9059999999999999,57.0,9.0,18.0,99.0,20,0.0
175,244,0.0,04M050,P.S. 050 VITO MARCANTONIO,0.89,26.0,7.0,35.0,98.0,6,0.0
316,245,0.0,12X190,E.S.M.T- I.S. 190,0.852,86.0,19.0,24.0,96.0,24,0.0
323,246,0.0,13K113,M.S. 113 RONALD EDMONDS LEARNING CENTER,0.797,104.0,20.0,23.0,93.0,31,0.0
452,247,0.0,22K240,ANDRIES HUDDE,0.61,231.0,74.0,27.0,74.0,32,0.0
328,248,0.0,03M421,WEST PREP ACADEMY,0.767,74.0,21.0,28.0,91.0,15,0.0
390,249,0.0,02M422,QUEST TO LEARN,0.406,74.0,33.0,16.0,54.0,3,0.0
208,250,0.0,23K137,P.S./I.S. 137 RACHEL JEAN MITCHELL,0.807,29.0,9.0,27.0,94.0,5,0.0
120,251,0.0,03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,0.7859999999999999,19.0,0.0,0.0,95.0,9,0.0
393,252,0.0,12X316,KAPPA III,0.841,131.0,34.0,26.0,95.0,31,0.0
337,253,0.0,28Q287,THE EMERSON SCHOOL,0.7040000000000001,138.0,21.0,17.0,79.0,39,0.0
204,254,0.0,08X376,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,0.7559999999999999,79.0,9.0,8.0,91.0,28,0.0
353,255,0.0,11X355,BRONX ALLIANCE MIDDLE SCHOOL,0.7290000000000001,101.0,24.0,18.0,92.0,25,0.0
121,256,0.0,04M007,P.S. 007 SAMUEL STERN,0.899,43.0,0.0,0.0,92.0,20,0.0
115,257,0.0,02M225,ELLA BAKER SCHOOL,0.429,25.0,0.0,0.0,56.0,7,0.0
224,258,0.0,23K323,P.S./I.S. 323,0.86,65.0,10.0,14.0,98.0,23,0.0
168,259,0.0,15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,0.635,89.0,6.0,3.0,85.0,33,0.0
142,260,0.0,13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,0.782,33.0,0.0,0.0,96.0,16,0.0
169,261,0.0,17K353,ELIJAH STROUD MIDDLE SCHOOL,0.746,52.0,6.0,13.0,96.0,20,0.0
447,262,0.0,24Q077,I.S. 077,0.687,350.0,61.0,17.0,79.0,93,0.0
104,263,0.0,31R063,MARSH AVENUE SCHOOL FOR EXPEDITIONARY LEARNING,0.317,148.0,70.0,44.0,27.0,1,0.0
438,264,0.0,28Q358,M.S. 358,0.6614945770065075,134.0,47.0,38.0,70.0,15,0.0
403,265,0.0,24Q560,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",0.513,60.0,35.0,20.0,65.0,-3,-0.0
322,266,0.0,12X383,EMOLIOR ACADEMY,0.8390000000000001,91.0,20.0,23.0,89.0,24,0.0
248,267,0.0,22K109,P.S. 109,0.738,98.0,12.0,11.0,95.0,36,0.0
90,268,0.0,29Q109,JEAN NUZZI INTERMEDIATE SCHOOL,0.435,353.0,117.0,33.0,61.0,38,0.0
440,269,0.0,10X080,J.H.S. 080 THE MOSHOLU PARKWAY,0.8270000000000001,235.0,51.0,22.0,81.0,56,0.0
261,270,0.0,10X003,P.S. 3 RAUL JULIA MICRO SOCIETY,0.8640000000000001,31.0,13.0,26.0,97.0,3,0.0
339,271,0.0,03M180,P.S. 180 HUGO NEWMAN,0.69,51.0,22.0,37.0,87.0,3,0.0
207,272,0.0,17K352,EBBETS FIELD MIDDLE SCHOOL,0.7859999999999999,50.0,9.0,12.0,94.0,16,0.0
336,273,0.0,28Q284,YORK EARLY COLLEGE ACADEMY,0.428,96.0,21.0,11.0,61.0,17,0.0
129,274,0.0,07X224,P.S./I.S. 224,0.903,130.0,0.0,0.0,98.0,65,0.0
128,275,0.0,07X151,J.H.S. 151 LOU GEHRIG,0.89,86.0,0.0,0.0,98.0,43,0.0
304,276,0.0,09X361,THE HIGHBRIDGE GREEN SCHOOL,0.8859999999999999,135.0,18.0,13.0,98.0,50,0.0
414,277,0.0,21K303,I.S. 303 HERBERT S. EISENBERG,0.703,179.0,38.0,20.0,46.0,25,0.0
399,278,0.0,11X529,ONE WORLD MIDDLE SCHOOL AT EDENWALD,0.701,110.0,35.0,29.0,93.0,20,0.0
210,279,0.0,23K327,P.S. 327 DR. ROSE B. ENGLISH,0.851,0.0,9.0,32.0,96.0,-9,-0.0
273,280,0.0,05M286,URBAN ASSEMBLY ACADEMY FOR FUTURE LEADERS,0.8170000000000001,59.0,15.0,18.0,98.0,15,0.0
361,281,0.0,11X089,P.S. 089 BRONX,0.737,174.0,25.0,15.0,76.0,48,0.0
108,282,0.0,30Q145,I.S. 145 JOSEPH PULITZER,0.682,582.0,137.0,23.0,90.0,144,0.0
185,283,0.0,27Q105,P.S. 105 THE BAY SCHOOL,0.897,77.0,7.0,8.0,94.0,30,0.0
189,284,0.0,07X005,P.S. 5 PORT MORRIS,0.905,99.0,8.0,11.0,98.0,42,0.0
119,285,0.0,03M250,M.S. 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL,0.6609999999999999,60.0,0.0,0.0,87.0,27,0.0
177,286,0.0,09X219,I.S. 219 NEW VENTURE SCHOOL,0.929,118.0,7.0,6.0,98.0,52,0.0
181,287,0.0,17K484,RONALD EDMONDS LEARNING CENTER II,0.8440000000000001,58.0,7.0,15.0,96.0,22,0.0
178,288,0.0,12X211,P.S. 211,0.8690000000000001,77.0,7.0,8.0,98.0,32,0.0
206,289,0.0,16K057,J.H.S. 057 WHITELAW REID,0.884,66.0,9.0,11.0,98.0,24,0.0
197,290,0.0,32K291,J.H.S. 291 ROLAND HAYES,0.8390000000000001,92.0,8.0,7.0,96.0,37,0.0
302,291,0.0,06M209,HAMILTON GRANGE MIDDLE SCHOOL,0.7859999999999999,92.0,18.0,21.0,96.0,28,0.0
220,292,0.0,09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,0.8009999999999999,43.0,10.0,7.0,90.0,11,0.0
163,293,0.0,07X296,SOUTH BRONX ACADEMY FOR APPLIED MEDIA,0.9079999999999999,96.0,6.0,7.0,97.0,42,0.0
174,294,0.0,03M165,P.S. 165 ROBERT E. SIMON,0.7390000000000001,46.0,7.0,13.0,82.0,13,0.0
377,295,0.0,30Q127,P.S. 127 AEROSPACE SCIENCE MAGNET SCHOOL,0.669,153.0,28.0,19.0,86.0,43,0.0
187,296,0.0,04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,0.722,52.0,8.0,6.0,85.0,16,0.0
196,297,0.0,32K162,J.H.S. 162 THE WILLOUGHBY,0.845,118.0,8.0,4.0,95.0,50,0.0
117,298,0.0,03M076,P.S. 076 A. PHILIP RANDOLPH,0.85,57.0,0.0,0.0,96.0,28,0.0
241,299,0.0,03M247,M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL,0.802,71.0,12.0,18.0,99.0,24,0.0
277,300,0.0,17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,0.684,54.0,15.0,12.0,96.0,12,0.0
134,301,0.0,08X424,THE HUNTS POINT SCHOOL,0.8759999999999999,99.0,0.0,0.0,98.0,49,0.0
182,302,0.0,19K404,ACADEMY FOR YOUNG WRITERS,0.705,82.0,7.0,4.0,97.0,34,0.0
378,303,0.0,30Q204,I.S. 204 OLIVER W. HOLMES,0.745,167.0,28.0,18.0,71.0,41,0.0
422,304,0.0,25Q250,I.S. 250 THE ROBERT F. KENNEDY COMMUNITY MIDDLE SCHOOL,0.609,122.0,41.0,25.0,53.0,11,0.0
154,305,0.0,27Q318,WATERSIDE SCHOOL FOR LEADERSHIP,0.755,76.0,0.0,0.0,88.0,34,0.0
453,306,0.0,31R002,I.S. R002 GEORGE L. EGBERT,0.526,323.0,75.0,26.0,34.0,31,0.0
109,307,0.0,03M291,WEST END SECONDARY SCHOOL,0.6614945770065075,102.0,31.0,23.0,27.0,6,0.0
214,308,0.0,29Q147,P.S./M.S. 147 RONALD MCNAIR,0.48,69.0,9.0,11.0,97.0,25,0.0
317,309,0.0,16K267,"M.S. 267 MATH, SCIENCE & TECHNOLOGY",0.826,87.0,19.0,22.0,87.0,22,0.0
